step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,CASH_OUT,168267.63,C612461145,134845,0,C1692434834,277446.32,38112.86,0,0
9,CASH_OUT,208638.98,C1831675582,0,0,C1816986148,6730994.14,7679197.62,0,0
9,PAYMENT,5958.32,C1336476852,30768,24809.68,M537723512,0,0,0,0
9,TRANSFER,1149748.09,C691650628,0,0,C54142591,6633045.05,10403208.53,0,0
9,TRANSFER,816891.99,C1844931261,0,0,C1260889084,819431.65,2731193.68,0,0
9,CASH_OUT,294347,C47299621,21302,0,C439078113,3167614,3626099.55,0,0
9,PAYMENT,555.13,C1448474960,214,0,M838008712,0,0,0,0
9,CASH_OUT,31345.06,C286977280,0,0,C1775951327,181670,213015.06,0,0
9,PAYMENT,20504.47,C161124241,428831.62,408327.14,M1893031785,0,0,0,0
9,CASH_OUT,143012.92,C390791818,0,0,C771303504,1240861.37,1383874.29,0,0
9,CASH_OUT,133879.34,C540908141,0,0,C522632546,1377075.53,1692383.89,0,0
9,CASH_OUT,21419.63,C1047821653,0,0,C1048785778,51565,72984.63,0,0
9,CASH_IN,1936.78,C393816738,8384040.43,8385977.21,C390635742,20908,264365.02,0,0
9,TRANSFER,1163719.93,C1232253214,0,0,C896393489,30143200.51,31306920.44,0,0
9,PAYMENT,13353.45,C326605557,5016,0,M760255958,0,0,0,0
9,PAYMENT,10448.45,C413509104,0,0,M2027173751,0,0,0,0
9,CASH_IN,131017.84,C490807309,68945,199962.84,C1101481055,0,0,0,0
9,PAYMENT,6270.41,C947552737,3851,0,M1912153535,0,0,0,0
9,TRANSFER,30193.67,C1620227906,0,0,C575335780,62198.18,31867.43,0,0
9,CASH_OUT,167056.75,C1657203715,3086,0,C1059633978,10,0,0,0
9,PAYMENT,10661.65,C1218553117,0,0,M730958905,0,0,0,0
9,CASH_OUT,159397.55,C163002190,117846,0,C376077872,107084.41,283619.5,0,0
9,PAYMENT,7261.31,C642071261,0,0,M1245873401,0,0,0,0
9,CASH_OUT,30728.44,C966204393,0,0,C1685192392,318170.46,204948.01,0,0
9,CASH_OUT,439593.93,C1143457802,0,0,C1975918135,2486700.34,4144037.72,0,0
9,TRANSFER,1495148.77,C702407874,0,0,C2106301831,37250.37,3154952.8,0,0
9,PAYMENT,27521.26,C1189099838,52668,25146.74,M930996255,0,0,0,0
9,CASH_OUT,49576.58,C1327785641,0,0,C1918807050,269138.09,86160.47,0,0
9,PAYMENT,8011.39,C252781096,0,0,M1028865702,0,0,0,0
9,CASH_IN,78272.79,C1572433638,103078,181350.79,C1259324562,72775,0,0,0
9,CASH_IN,64692.44,C1712920337,758142.23,822834.67,C229707080,662335.01,955533.11,0,0
9,CASH_OUT,195729.36,C1541945120,145,0,C1266035080,4879449.59,5932953.77,0,0
9,CASH_OUT,209263.42,C897403685,0,0,C1161865950,3537102.05,4739739.77,0,0
9,CASH_IN,240255.07,C1792256856,5030,245285.07,C164033249,221,304464.21,0,0
9,CASH_IN,310132.42,C1912284209,12663018.4,12973150.82,C528690672,646540.07,318286.44,0,0
9,CASH_OUT,97573.9,C1452178897,0,0,C1661736346,2490191.49,1509285.86,0,0
9,TRANSFER,13526.09,C1254733884,0,0,C470644341,1695830.62,742886.3,0,0
9,CASH_IN,95139.14,C1989386314,3038104.17,3133243.31,C1649449847,549179.21,730487.11,0,0
9,CASH_OUT,151475.43,C1873202228,107681,0,C1593812215,5042,0,0,0
9,PAYMENT,14808.39,C1774218204,112007,97198.61,M643902580,0,0,0,0
9,CASH_IN,97194.14,C1803460213,5540,102734.14,C1141137903,23006366.82,25939516.85,0,0
9,PAYMENT,9290.68,C1444799443,3100.36,0,M1611666484,0,0,0,0
9,TRANSFER,887270.71,C1460619026,577093.77,0,C1875583711,54601.98,409359.33,0,0
9,CASH_OUT,106180.4,C1582227106,368747,262566.6,C273797218,0,114319.43,0,0
9,PAYMENT,3686.44,C1283368123,0,0,M1134203468,0,0,0,0
9,CASH_IN,63063.49,C318092645,4761459.8,4824523.29,C767985950,1627277.5,1001212.04,0,0
9,CASH_IN,125799.71,C1771381856,7878772.72,8004572.43,C1548868129,166274.48,0,0,0
9,CASH_OUT,170014.86,C1326978423,127201.6,0,C1185983425,1062785.39,1522104.3,0,0
9,CASH_OUT,394340.42,C854640318,122723,0,C486501918,2597531.83,3761023.03,0,0
9,CASH_IN,168978.22,C170495422,2322675.94,2491654.16,C1673641258,216630.15,33536.38,0,0
9,PAYMENT,8074.26,C1790876247,67,0,M245060533,0,0,0,0
10,PAYMENT,4082.22,C1840549925,52926,48843.78,M1698004360,0,0,0,0
10,CASH_OUT,318155.4,C552153864,15810,0,C346747681,0,387431.66,0,0
10,CASH_OUT,109911.94,C894250485,0,0,C294900736,411638.54,552521.12,0,0
10,CASH_OUT,225563.71,C1698914304,0,0,C1195378184,5759722.4,8671976.24,0,0
10,CASH_IN,108670.2,C343058133,2186937.35,2295607.55,C1071364078,121888.7,13218.5,0,0
10,PAYMENT,9665.42,C1489438249,0,0,M424167143,0,0,0,0
10,TRANSFER,473295.31,C1241321171,0,0,C1247394840,483706.08,848214.14,0,0
10,CASH_OUT,212352.65,C1261101385,0,0,C320919849,1410957.99,1623310.63,0,0
10,CASH_OUT,473007.58,C78405400,0,0,C1887021195,2086411.98,2411521.87,0,0
10,CASH_OUT,186170.17,C1935542947,0,0,C549277650,1402185.62,1452150.99,0,0
10,PAYMENT,7008,C957709357,121522.89,114514.89,M1501222652,0,0,0,0
10,PAYMENT,15630.41,C219770864,10217,0,M715109447,0,0,0,0
10,TRANSFER,203422.94,C1638181666,0,0,C749013731,13475547.68,15690203.11,0,0
10,CASH_IN,116014.78,C1475996503,7930264.41,8046279.2,C1544261736,252546.89,136532.11,0,0
10,CASH_OUT,74842.05,C711105178,0,0,C1322609917,105892.65,332821.55,0,0
10,PAYMENT,9878.05,C1178690548,0,0,M542570100,0,0,0,0
10,CASH_OUT,564720.2,C1175854272,550956.27,0,C1604106607,2250367.08,3051313.44,0,0
10,CASH_IN,213522.01,C819806972,5321589.87,5535111.88,C229707080,1169055.12,955533.11,0,0
10,CASH_OUT,304264.95,C185302837,155931.7,0,C1691398930,597325.36,901590.31,0,0
10,PAYMENT,6446.95,C1365943894,0,0,M489877066,0,0,0,0
10,PAYMENT,3347.49,C98589355,0,0,M305787616,0,0,0,0
10,CASH_IN,41496.69,C1935506937,42491,83987.69,C126351739,291960.67,250463.98,0,0
10,CASH_IN,307282.87,C532590311,10185264.42,10492547.29,C580441921,2402893.24,2579686.97,0,0
10,PAYMENT,22538.3,C1184077481,0,0,M1910229319,0,0,0,0
10,PAYMENT,9249.4,C638574851,0,0,M1808177478,0,0,0,0
10,PAYMENT,11848.65,C2030316230,1443964.11,1432115.46,M2109653065,0,0,0,0
10,CASH_OUT,219834.29,C1928887275,0,0,C1083142315,5081097.1,5550696.63,0,0
10,PAYMENT,11552.27,C898299302,658,0,M237376480,0,0,0,0
10,PAYMENT,1161.11,C458338222,20234,19072.89,M1601748978,0,0,0,0
10,PAYMENT,17843.35,C468062615,35816.59,17973.25,M1357683692,0,0,0,0
10,PAYMENT,12033.81,C2127650326,33324.72,21290.91,M646310735,0,0,0,0
10,CASH_IN,39270.08,C1246188467,2722735.58,2762005.66,C1719999512,884071.88,844801.8,0,0
10,CASH_IN,180009.08,C1591569720,106031,286040.08,C1156584815,840645.21,660636.13,0,0
10,PAYMENT,10659.73,C1884602739,719603,708943.27,M1855925835,0,0,0,0
10,PAYMENT,17212.03,C1161185199,724748.55,707536.52,M620495547,0,0,0,0
10,PAYMENT,6239.67,C1811828083,30692,24452.33,M1610173597,0,0,0,0
10,PAYMENT,206.44,C941641081,14814,14607.56,M1380460968,0,0,0,0
10,TRANSFER,120928.61,C844335302,0,0,C643152776,592840.35,78466.08,0,0
10,PAYMENT,22232.32,C334609820,0,0,M1970842607,0,0,0,0
10,CASH_OUT,131401.93,C640013317,11330,0,C416646286,0,107023.24,0,0
10,CASH_IN,53222.09,C1058581824,6267865.93,6321088.03,C505528357,3608282.82,4200500.52,0,0
10,PAYMENT,9901.98,C982036783,167299.32,157397.33,M650445525,0,0,0,0
10,CASH_OUT,51722.8,C1812601251,399292,347569.2,C710987073,1567881.35,1619604.16,0,0
10,CASH_IN,128373.28,C882650728,22783,151156.28,C2141809964,21504,0,0,0
10,PAYMENT,64318.84,C1648945381,176905.53,112586.69,M936132063,0,0,0,0
10,PAYMENT,6536.07,C846431455,21138,14601.93,M1829147336,0,0,0,0
10,CASH_OUT,215447.62,C2131573253,0,0,C2055396138,25236,369315.61,0,0
10,CASH_OUT,375131.67,C104054177,92413,0,C1041177868,54516,0,0,0
10,PAYMENT,10555.37,C1225910477,11356,800.63,M210579770,0,0,0,0
10,TRANSFER,2006216.45,C39267005,19664,0,C2064311715,75061.03,1869888.12,0,0
10,PAYMENT,2405.29,C704715045,0,0,M99175502,0,0,0,0
10,CASH_IN,196963.98,C1313416800,21987,218950.98,C2120271841,758516.43,636280.68,0,0
10,PAYMENT,9706.65,C77846890,0,0,M1307848840,0,0,0,0
10,CASH_OUT,145704.82,C1011311625,31082,0,C1183653836,0,145704.82,0,0
10,CASH_OUT,459022.13,C1611267829,50587,0,C1558279068,126894.33,693538.75,0,0
10,CASH_OUT,199251.41,C1614918613,61778.19,0,C1692207232,2286880.13,2658839.37,0,0
10,PAYMENT,15523.17,C2083295053,710091,694567.83,M1139786097,0,0,0,0
10,PAYMENT,1850.45,C1121467132,7344.82,5494.37,M2055573254,0,0,0,0
10,CASH_OUT,51324.07,C802772152,0,0,C2109097173,131522.39,182846.46,0,0
10,TRANSFER,983586.83,C568948132,0,0,C1251686742,3508064.61,7473247.93,0,0
10,PAYMENT,34388.02,C1944261175,41940,7551.98,M510470636,0,0,0,0
10,CASH_OUT,340729.92,C19625598,11734,0,C720221848,556829.23,1235035.72,0,0
10,TRANSFER,914186.01,C1413902148,0,0,C1083239666,4175396.69,5427468.53,0,0
10,PAYMENT,16382.35,C3779784,0,0,M749652960,0,0,0,0
10,PAYMENT,4736.1,C249618224,11364,6627.9,M829541340,0,0,0,0
11,TRANSFER,1612761.33,C1435662450,20625,0,C769696711,2220594.51,3833355.84,0,0
11,CASH_IN,229460.57,C937019554,1221469.2,1450929.77,C982997256,1305610.85,1666422.78,0,0
11,CASH_OUT,335608.65,C1903305955,865525,529916.35,C1395820996,0,42140.77,0,0
11,PAYMENT,23018.4,C1492945921,260995.88,237977.49,M786656941,0,0,0,0
11,CASH_IN,157903.91,C709464887,89675.66,247579.57,C416073345,145894.14,0,0,0
11,PAYMENT,21745.35,C327408187,147822.97,126077.62,M299626216,0,0,0,0
11,CASH_OUT,398227.59,C1961283625,147669,0,C1850508675,0,449827.66,0,0
11,TRANSFER,1351655.63,C711158516,0,0,C265108079,5162478.62,6514134.25,0,0
11,CASH_OUT,47699.53,C389506294,49690,1990.47,C706331499,338538.16,386237.68,0,0
11,CASH_IN,49801.41,C609057644,3979533.21,4029334.62,C1410718425,115386.12,142409.45,0,0
11,PAYMENT,16778.28,C878272762,1267,0,M61290905,0,0,0,0
11,PAYMENT,14300.29,C2072613284,0,0,M1701516945,0,0,0,0
11,CASH_OUT,347275.46,C9348548,963569,616293.54,C1339257929,440785.45,788060.91,0,0
11,CASH_OUT,293445.31,C314130271,16013.35,0,C487776685,484381.49,777826.79,0,0
11,CASH_OUT,747087.98,C984816367,77856.27,0,C1413597807,62055.69,809143.67,0,0
11,CASH_IN,217887.62,C370753406,4450842.88,4668730.49,C1013700132,10575404.53,10357516.91,0,0
11,PAYMENT,9190.57,C1866360374,29396.15,20205.58,M1545696859,0,0,0,0
11,TRANSFER,521443.22,C1371956452,1233979.01,712535.79,C223820500,3210909.43,3504695.8,0,0
11,PAYMENT,14354.27,C83052056,37722.73,23368.46,M1573854794,0,0,0,0
11,PAYMENT,16774.63,C1335486381,58109.75,41335.12,M1756544433,0,0,0,0
11,TRANSFER,352044.18,C892052670,0,0,C234424842,1532322.19,1768907.42,0,0
11,CASH_OUT,5707.26,C252697561,5749,41.74,C995178851,0,5707.26,0,0
11,CASH_IN,77685.03,C770427889,424906.43,502591.45,C1421496184,702217.85,714050.67,0,0
11,TRANSFER,665295.96,C1388770792,149963,0,C88338853,0,665295.96,0,0
11,CASH_IN,214252.84,C996006822,1906954,2121206.85,C1496102000,827970.08,613717.24,0,0
11,PAYMENT,4998.31,C1596041382,627247,622248.69,M85428562,0,0,0,0
11,PAYMENT,34095.75,C369504856,0,0,M1978080948,0,0,0,0
11,CASH_OUT,189603.62,C960560252,0,0,C996786895,3724693.75,3914297.37,0,0
11,CASH_OUT,326503.12,C989235925,93934,0,C66497191,10155313.68,10481816.8,0,0
11,PAYMENT,5236.32,C1809705252,20992,15755.68,M288577963,0,0,0,0
11,CASH_OUT,292520.33,C10775415,41403,0,C1670297251,100407.65,392927.98,0,0
11,PAYMENT,4870.97,C78768242,243154.62,238283.65,M1528598564,0,0,0,0
11,CASH_OUT,394203.63,C307956725,21069,0,C394192047,120091.44,426162.43,0,0
11,CASH_OUT,492270.29,C756452796,106,0,C1304361166,0,492270.29,0,0
11,PAYMENT,22006.91,C1477296233,187492.15,165485.24,M1819638608,0,0,0,0
11,PAYMENT,5159.74,C238062557,192772.02,187612.28,M405156841,0,0,0,0
11,CASH_OUT,372659.66,C1839892542,119,0,C1165993177,0,372659.66,0,0
11,CASH_OUT,511098.22,C1063194543,260564,0,C1479830832,139363.17,650461.39,0,0
11,PAYMENT,1505.6,C2095686793,42066,40560.4,M1525254979,0,0,0,0
11,CASH_IN,67397.64,C79843491,1422509.84,1489907.48,C1193690398,5459500.97,5349329.85,0,0
11,PAYMENT,15662.71,C1470079136,0,0,M201473003,0,0,0,0
11,CASH_OUT,168125.89,C1916078374,1867972.02,1699846.13,C1419886138,190834.52,137652.08,0,0
11,PAYMENT,25216.42,C238794915,148657.81,123441.38,M866675852,0,0,0,0
11,CASH_OUT,402825.94,C1245587539,740698.93,337872.99,C1116283690,781963.03,1447751.15,0,0
11,PAYMENT,18416.7,C1617614709,19901,1484.3,M287765182,0,0,0,0
11,CASH_OUT,394345.49,C964562091,0,0,C1608595761,1126041.84,2056090.56,0,0
11,PAYMENT,27155.65,C643691341,0,0,M467364063,0,0,0,0
11,PAYMENT,3468.53,C1770068566,0,0,M590317177,0,0,0,0
11,CASH_OUT,91649.19,C1622877937,1123419.38,1031770.19,C920740601,0,573560.68,0,0
11,CASH_OUT,15844.56,C1399345017,97867.1,82022.55,C1260248083,0,15844.56,0,0
11,CASH_IN,286573.96,C1183456414,51221,337794.96,C608284094,877467.14,590893.19,0,0
11,PAYMENT,21860.83,C1138432132,59524,37663.17,M618615649,0,0,0,0
11,CASH_OUT,237812.79,C1752835449,1795,0,C321402698,0,237812.79,0,0
11,CASH_IN,435722.94,C452543986,5258,440980.94,C1192424133,107350,0,0,0
11,CASH_OUT,484565.81,C854084922,36309,0,C1318689189,0,316491.26,0,0
11,PAYMENT,2496.17,C1634618172,25352,22855.83,M567089823,0,0,0,0
11,PAYMENT,5536.55,C1581300690,465549.31,460012.76,M1318367431,0,0,0,0
11,TRANSFER,1077057.13,C1266705698,32103,0,C1953465632,365811.93,1442869.06,0,0
11,PAYMENT,23170.01,C632460263,934344.53,911174.52,M154853664,0,0,0,0
11,PAYMENT,13826.53,C1012860871,954696.76,940870.23,M328392371,0,0,0,0
11,CASH_IN,5043.75,C1156711977,6981579.22,6986622.97,C1021427324,41427.36,36383.61,0,0
11,PAYMENT,6195.85,C1111238365,704980.48,698784.62,M1074655557,0,0,0,0
11,DEBIT,6521.93,C300757511,146728,140206.07,C1324885855,452810.24,1957218.56,0,0
11,CASH_IN,188268.11,C27301935,1004985.21,1193253.32,C1845022842,639898.96,331791.94,0,0
11,PAYMENT,16332.96,C979917930,5092,0,M42699260,0,0,0,0
11,CASH_OUT,273205.41,C1917203239,103142.03,0,C1719351666,671100.42,1060073.65,0,0
11,PAYMENT,510.29,C1009276527,266,0,M1911979539,0,0,0,0
11,CASH_OUT,683645.18,C1152622941,30332,0,C1566936203,0,683645.18,0,0
11,CASH_OUT,185743.99,C773421158,21675,0,C749930778,0,185743.99,0,0
11,PAYMENT,16278.87,C447578163,0,0,M1870579119,0,0,0,0
11,CASH_OUT,418984.38,C1957729288,61916,0,C1203172736,112676.04,531660.42,0,0
11,PAYMENT,10837.79,C634916181,0,0,M1926472457,0,0,0,0
11,PAYMENT,2255.49,C800902237,0,0,M529011874,0,0,0,0
11,CASH_IN,12593.28,C1182779986,8792369.79,8804963.07,C603580770,5783844.78,5771251.5,0,0
12,CASH_OUT,145748.88,C1268165362,356142.15,210393.27,C241685431,7902881.1,8048629.98,0,0
12,CASH_OUT,72027.6,C1958172672,14618,0,C1244769081,201778.79,273806.39,0,0
12,PAYMENT,6485.1,C479348877,0,0,M1975500194,0,0,0,0
12,PAYMENT,14496.55,C1426101903,427337,412840.45,M1498957099,0,0,0,0
12,TRANSFER,1200944.46,C104747076,11561,0,C195418285,552478.8,1753423.26,0,0
12,PAYMENT,20798.86,C1784781855,198041.16,177242.3,M900967945,0,0,0,0
12,CASH_IN,106702.52,C529580754,1944556.44,2051258.96,C740781660,168401.66,61699.13,0,0
12,CASH_IN,232446.88,C1989671226,2868691.77,3101138.65,C2031923475,939012.57,706565.69,0,0
12,CASH_IN,30319.01,C1642561767,4849844.72,4880163.73,C1982089600,50607,20287.99,0,0
12,CASH_IN,109907.03,C2145366687,102932,212839.03,C616891717,95183.07,0,0,0
12,CASH_OUT,295745.04,C1189739353,196,0,C1832624381,5477848.74,5773593.78,0,0
12,PAYMENT,31363.41,C1524061919,48707,17343.59,M330448886,0,0,0,0
12,PAYMENT,393.9,C1190550193,132319.93,131926.03,M1124038378,0,0,0,0
12,PAYMENT,3004.81,C1770860877,0,0,M600505767,0,0,0,0
12,PAYMENT,6923.83,C2049427988,13138,6214.17,M696565605,0,0,0,0
12,TRANSFER,1503228.55,C1452434698,0,0,C1309225797,2378173,3881401.56,0,0
12,PAYMENT,13470.98,C656867094,0,0,M812195683,0,0,0,0
12,CASH_IN,38866,C822157313,5013374.52,5052240.52,C414129056,180694.21,141828.21,0,0
12,CASH_IN,2502.32,C1403687870,65335,67837.32,C1760876221,0,0,0,0
12,CASH_OUT,16615.14,C1710417448,105339,88723.86,C12117306,1083,0,0,0
12,PAYMENT,33067.92,C1512989801,0,0,M631582021,0,0,0,0
12,PAYMENT,5355.3,C1989644122,0,0,M963920042,0,0,0,0
12,CASH_IN,180194.49,C1896777781,6514834.27,6695028.75,C903038642,803763.43,623568.95,0,0
12,CASH_IN,209395.31,C1521564183,11549917.4,11759312.71,C1107377692,904815.98,1006965.7,0,0
12,PAYMENT,49283.44,C499445836,0,0,M1071399278,0,0,0,0
12,CASH_OUT,320183.25,C2081904725,14830,0,C1968101532,1147439.96,2056418.29,0,0
12,CASH_OUT,267844.85,C1890471064,49465.27,0,C2088980495,2254908.17,3004413.91,0,0
12,PAYMENT,29884.06,C475463528,112735,82850.94,M606905879,0,0,0,0
12,CASH_OUT,150225.02,C2019298677,0,0,C469985115,1136995.79,1172495.91,0,0
12,CASH_OUT,226279.7,C334145465,0,0,C1002335651,1758604.94,2564831.87,0,0
12,PAYMENT,6192.06,C1637239322,21255,15062.94,M1905980443,0,0,0,0
12,CASH_IN,220263.69,C1897919800,5118003.59,5338267.27,C1545454825,10360909.63,10018075.38,0,0
12,PAYMENT,2837.4,C20833552,27733,24895.6,M2105831988,0,0,0,0
12,PAYMENT,4619.85,C970431994,0,0,M427081055,0,0,0,0
12,CASH_OUT,305749.79,C1976850212,100580,0,C1503046892,1119513.76,1425263.54,0,0
12,PAYMENT,129.97,C63189164,0,0,M1809707948,0,0,0,0
12,CASH_IN,158947.67,C786758287,305914,464861.67,C1985806378,36480,691630.83,0,0
12,CASH_OUT,45051.3,C209968055,58300,13248.7,C1124754747,119663.32,210716.63,0,0
12,CASH_OUT,371674.38,C1630884038,11672,0,C1712533432,7028,696158.45,0,0
12,PAYMENT,44366.93,C1270095658,0,0,M1708286813,0,0,0,0
12,PAYMENT,2773.74,C134291557,22481,19707.26,M1700986403,0,0,0,0
12,PAYMENT,3979.9,C388706307,71485.17,67505.27,M1835632294,0,0,0,0
12,PAYMENT,7464.99,C1928925370,72326,64861.01,M611832994,0,0,0,0
12,CASH_OUT,259790.24,C1944838911,123242.39,0,C566698125,7539870.81,7799661.05,0,0
12,CASH_IN,346856.9,C962325426,5362559.72,5709416.62,C560829524,569568.92,222712.02,0,0
12,CASH_IN,35803.53,C697247561,7014403.42,7050206.95,C1743677413,532898.91,480869.42,0,0
12,TRANSFER,88730.77,C1207054759,0,0,C1794194687,1111623.28,1484184.64,0,0
12,CASH_OUT,396784.09,C1340115849,158217,0,C823256582,303059.14,401228.89,0,0
12,CASH_OUT,9229.04,C2021212991,290,0,C324475500,0,0,0,0
12,CASH_OUT,71973.67,C1642279763,975,0,C1870570595,236428.84,308402.51,0,0
12,CASH_IN,321338.8,C1466617315,407548,728886.8,C878878608,1728571.48,1866221.27,0,0
12,CASH_OUT,338196.8,C181176587,20567,0,C1242240769,2964313.98,3506901.52,0,0
12,PAYMENT,7487.8,C588384515,0,0,M122194184,0,0,0,0
12,PAYMENT,5845.4,C1460300440,21605.28,15759.88,M1352029362,0,0,0,0
12,PAYMENT,15729.82,C1923898165,220415.08,204685.26,M1981692199,0,0,0,0
12,CASH_OUT,308227.23,C603286551,10471,0,C469985115,1287220.81,1172495.91,0,0
12,CASH_OUT,275828.67,C1494720036,866830.99,591002.32,C1025354079,0,275828.67,0,0
13,TRANSFER,374510.58,C1721947758,43496,0,C1220911229,6661626.59,7225222.68,0,0
13,CASH_OUT,109487.26,C1011887528,61738,0,C1563929103,1760889.16,1870376.42,0,0
13,CASH_OUT,258206.5,C337233818,0,0,C1985806378,433424.33,691630.83,0,0
13,CASH_OUT,275993.94,C100724789,1609,0,C1037802667,1693304.01,1604997.14,0,0
13,CASH_IN,81052.64,C223920373,4918628.44,4999681.08,C348572924,997005.18,1305818.45,0,0
13,CASH_OUT,86927.34,C1729080591,0,0,C1045308594,4034932.95,5678172.74,0,0
13,TRANSFER,102614,C383498109,0,0,C608698418,1605901.98,1533746.9,0,0
13,PAYMENT,33485.66,C1947626232,20038,0,M1656486729,0,0,0,0
13,CASH_IN,17922.7,C334608549,3186636.98,3204559.67,C241888581,277865.29,352918.21,0,0
13,PAYMENT,2825.42,C1379440802,352700.38,349874.96,M1800547119,0,0,0,0
13,CASH_IN,449038.52,C1521939704,2123237.93,2572276.45,C588482337,3777030.98,3673250.9,0,0
13,CASH_IN,432815.58,C430127830,54160,486975.58,C2120733371,461232.12,406115.73,0,0
13,PAYMENT,6450.63,C963463725,218150.39,211699.75,M43720874,0,0,0,0
13,CASH_OUT,107708.6,C2075538769,50200,0,C1334679764,408642.72,269177.05,0,0
13,CASH_OUT,259421.73,C1095690759,15376,0,C911013596,0,259421.73,0,0
13,CASH_IN,280609.96,C466761250,0,280609.96,C127886086,526852.49,246242.53,0,0
13,CASH_OUT,1645.73,C1359456270,0,0,C882776288,2294423.82,2445917.23,0,0
13,CASH_IN,260854.17,C1101342645,2378132.53,2638986.7,C272581853,559923.87,98388.56,0,0
13,CASH_OUT,130422.86,C531973792,0,0,C478793413,876286.57,1006709.43,0,0
13,PAYMENT,5125.02,C215514091,34524.3,29399.27,M504419078,0,0,0,0
13,CASH_IN,57575.41,C973862317,5913861.11,5971436.51,C604159813,276131.11,0,0,0
13,TRANSFER,349376.91,C2112145413,25696,0,C2015602234,0,349376.91,0,0
13,PAYMENT,1447.26,C447478814,0,0,M1171178265,0,0,0,0
